title,link,press
"전남대병원 ˝코로나19, 우울증 유병률 5배...감사의 마음 예방 효과 있어˝",http://www.cmbkj.co.kr/ab-991-23263,CMB광주방송
"겨울철, 심해지는 '계절성 우울증'…내 몸·마음 지켜줄 음식 4PICK",http://www.slist.kr/news/articleView.html?idxno=317516,싱글리스트
코로나 시대 비대면으로 똑똑하게 건강관리하는 사람들,http://www.dailypop.kr/news/articleView.html?idxno=56335,데일리팝
"코로나19가 불러온 우울증, 고위험군 급증",http://www.newsmp.com/news/articleView.html?idxno=219143,의약뉴스
"코로나19로 우울증 고위험군 20%→24%…전문가들, 국가 심리 방역 시스템 '강...",http://www.medigatenews.com/news/2180831811,메디게이트뉴스
청양군 26일 '생명존중 캠페인'..코로나우울증 우려,http://www.newspim.com/news/view/20211125001141,뉴스핌
"부산시서부교육지원청, ‘겨울방학 찾아가는 스포츠 교실’ 운영",https://www.cnbnews.com/news/article.html?no=526457,CNB뉴스
"""코로나19 인한 우울증 유병률 5배 높아""",http://medipana.com/news/news_viewer.asp?NewsNum=288402&MainKind=A&NewsKind=5&vCount=12&vKind=1,메디파나뉴스
"전남대병원 ˝코로나19, 우울증 유병률 5배...감사의 마음 예방 효과 있어˝",http://www.cmbkj.co.kr/ab-991-23263,CMB광주방송
"겨울철, 심해지는 '계절성 우울증'…내 몸·마음 지켜줄 음식 4PICK",http://www.slist.kr/news/articleView.html?idxno=317516,싱글리스트
코로나 시대 비대면으로 똑똑하게 건강관리하는 사람들,http://www.dailypop.kr/news/articleView.html?idxno=56335,데일리팝
"코로나19가 불러온 우울증, 고위험군 급증",http://www.newsmp.com/news/articleView.html?idxno=219143,의약뉴스
"코로나19로 우울증 고위험군 20%→24%…전문가들, 국가 심리 방역 시스템 '강...",http://www.medigatenews.com/news/2180831811,메디게이트뉴스
청양군 26일 '생명존중 캠페인'..코로나우울증 우려,http://www.newspim.com/news/view/20211125001141,뉴스핌
"부산시서부교육지원청, ‘겨울방학 찾아가는 스포츠 교실’ 운영",https://www.cnbnews.com/news/article.html?no=526457,CNB뉴스
"코로나 우울증, 고위험군 급증",http://www.kmedinfo.co.kr/news/articleView.html?idxno=70887,e의료정보
코로나19 이후 우울증 유병률 5배↑… 연구결과,https://health.chosun.com/site/data/html_dir/2021/11/22/2021112201480.html,헬스조선
"""코로나19 장기화로 우울증 유병률 5배 높아져""",http://yna.kr/AKR20211121028700054?did=1195m,연합뉴스
"전남대병원 ˝코로나19, 우울증 유병률 5배...감사의 마음 예방 효과 있어˝",http://www.cmbkj.co.kr/ab-991-23263,CMB광주방송
"겨울철, 심해지는 '계절성 우울증'…내 몸·마음 지켜줄 음식 4PICK",http://www.slist.kr/news/articleView.html?idxno=317516,싱글리스트
코로나 시대 비대면으로 똑똑하게 건강관리하는 사람들,http://www.dailypop.kr/news/articleView.html?idxno=56335,데일리팝
"코로나19가 불러온 우울증, 고위험군 급증",http://www.newsmp.com/news/articleView.html?idxno=219143,의약뉴스
"코로나19로 우울증 고위험군 20%→24%…전문가들, 국가 심리 방역 시스템 '강...",http://www.medigatenews.com/news/2180831811,메디게이트뉴스
청양군 26일 '생명존중 캠페인'..코로나우울증 우려,http://www.newspim.com/news/view/20211125001141,뉴스핌
"부산시서부교육지원청, ‘겨울방학 찾아가는 스포츠 교실’ 운영",https://www.cnbnews.com/news/article.html?no=526457,CNB뉴스
"코로나 우울증, 고위험군 급증",http://www.kmedinfo.co.kr/news/articleView.html?idxno=70887,e의료정보
코로나19 이후 우울증 유병률 5배↑… 연구결과,https://health.chosun.com/site/data/html_dir/2021/11/22/2021112201480.html,헬스조선
청양군 26일 '생명존중 캠페인'..코로나우울증 우려,http://www.newspim.com/news/view/20211125001141,뉴스핌
"부산시서부교육지원청, ‘겨울방학 찾아가는 스포츠 교실’ 운영",https://www.cnbnews.com/news/article.html?no=526457,CNB뉴스
"코로나 우울증, 고위험군 급증",http://www.kmedinfo.co.kr/news/articleView.html?idxno=70887,e의료정보
코로나19 이후 우울증 유병률 5배↑… 연구결과,https://health.chosun.com/site/data/html_dir/2021/11/22/2021112201480.html,헬스조선
"코로나19 시대, 우울증 유병률 5배 높아져",https://mpmbc.co.kr/article/XGU7eOEgVgU,목포MBC
코로나 우울증 치료하는 AI...'디지털 치료제' 본격 시동,https://www.ytn.co.kr/_ln/0105_202111042335213800,YTN
"코로나19, 우울증 약으로 치료할 수 있다? [사실은 이렇습니다]",https://www.ktv.go.kr/content/view?content_id=636398,KTV국민방송
코로나 우울증 치료하는 AI...'디지털 치료제' 본격 시동,https://science.ytn.co.kr/program/program_view.php?s_mcd=0082&s_hcd=&key=202111051136412959,YTN사이언스
"대한장연구학회, 크론병·궤양성대장염 등 염증성장질환 설문조사 결과 발표",http://www.cancerline.co.kr/html/24295.html,월간암
"""고령사회 노인우울증 악화, SSRI 처방 제한 철폐 시급""",http://www.dailymedi.com/detail.php?number=877335&thread=11r01,데일리메디
